channel_name,video_count,ideology_relative_score,ideology_relative_label,dominant_frame,dominant_frame_share,dominant_topic,dominant_topic_share,dominant_audience_reaction,dominant_audience_reaction_share,audience_comment_count,progressive_cue_hits,conservative_cue_hits
연합뉴스TV,1864,-0.0047727968653093,혼합/중간,기타/혼합,0.4501072961373391,topic_01,0.301747311827957,기타/혼합,0.5360740539068881,18365,60,7
 YTN,1619,0.0025543694661286,혼합/중간,안보·군사,0.5651636812847437,topic_01,0.4164438502673797,기타/혼합,0.5256326530612245,49000,416,72
채널A News,1082,0.0023886944071635,혼합/중간,안보·군사,0.5175600739371534,topic_01,0.312396694214876,기타/혼합,0.5604919477605961,24962,28,6
KBS News,1050,-0.0081828878213284,혼합/중간,안보·군사,0.5304761904761904,topic_01,0.3781979977753059,기타/혼합,0.535024154589372,18216,189,23
SBS 뉴스,972,0.0130900126095282,혼합/중간,안보·군사,0.5833333333333334,topic_01,0.3504273504273504,기타/혼합,0.5441509960576353,28663,116,24
뉴스TVCHOSUN,896,0.0190265829232313,혼합/중간,안보·군사,0.59375,topic_01,0.4617737003058104,기타/혼합,0.5579262756491737,11014,31,15
MBCNEWS,838,0.0012212577045081,혼합/중간,안보·군사,0.3949880668257756,topic_01,0.3169984686064318,기타/혼합,0.5247173788082008,41752,74,15
JTBC News,795,-0.0076225424161653,혼합/중간,안보·군사,0.3761006289308176,topic_01,0.3444444444444444,기타/혼합,0.5180340060169693,29583,50,5
MBN News,753,-0.0026821369325045,혼합/중간,안보·군사,0.4196547144754316,topic_01,0.2989985693848355,기타/혼합,0.5406513070447496,9028,115,17
SBS Biz 뉴스,286,-0.0212155470040831,혼합/중간,투자·시장,0.6328671328671329,topic_02,0.8451327433628318,기타/혼합,0.5485762144053601,1194,20,0
한국경제TV,184,-0.0156012913619781,혼합/중간,투자·시장,0.8478260869565217,topic_02,0.9886363636363636,기타/혼합,0.5971814445096888,1703,11,1
매일경제TV,98,-0.030698327266705,혼합/중간,투자·시장,0.3877551020408163,topic_02,0.6526315789473685,기타/혼합,0.5639810426540285,211,10,0
